CS_COMPANY_ID|BUSINESS_NAME|COMPANY_REGISTRATION_NUMBER|ADDRESS1|ADDRESS2|ADDRESS3|ADDRESS4|ADDRESS5|ADDRESS_TYPE
BE02614163|ZIZ.ZEN SRL|508704523|RUE EDOUARD MICHIELS|7A||1180|UCCLE|1
BE02614163|COTE MAILLE|2216094167|Rue du Bailli|52||1050|Ixelles|0
BE02585726|RECYCLING TECHNICS BV|847678446|STAPELSTRAAT|3||2830|WILLEBROEK|1
BE02585726||2213045397|Stapelstraat|3||2830|Willebroek|0
BE02612958|DENTAL DIGUE SRL|508510325|RUE DU PETIT PARC|21||6120|HAM-SUR-HEURE-NALINNES|1
BE02612958|DENTAL DIGUE|2216325779|Place de la Digue|22||6000|Charleroi|0
BE02583288|SENSIS BV|847330731|BEEKKANTSTRAAT|4||9688|MAARKEDAL|1
BE02583288|Sensis BV|2211321272|Beekkantstraat|4||9688|Maarkedal|0
BE02579402|GESTION IMMOBILIÈRE CONSULTANCE SRL|846988855|CHAUSSÉE DE THUIN|139 / B||6032|CHARLEROI|1
BE02579402|GESTION IMMOBILIERE ET CONSULTANCE|2210886851|Rue de Marcinelle|139||6032|Charleroi|0
BE02579402|GESTION IMMOBILIERE ET CONSULTANCE|2342311062|Rue de Montigny|36||6000|Charleroi|0
BE02620414|SUSKUN BVBA|502534432|STATIESTRAAT|120||2600|ANTWERPEN|1
BE02620414|Frituur Statie|2215879183|Statiestraat|120||2600|Antwerpen|0
BE02561008|LOLA|844708365|OUDEVAARTPLAATS|74||2000|ANTWERPEN|1
BE02561008|LOLA|2208771261|Oudevaartplaats|74||2000|Antwerpen|0
BE02617718|MAXIMMO BVBA|508940588|EUROPALAAN|83||3600|GENK|1
BE02617718|Maximmo|2218553019|Europalaan|83||3600|Genk|0
BE02641381|MIKAIL MELIKE BV|526868564|DE PINTELAAN|184||9000|GENT|1
BE02641381|Mikail Melike|2218743554|De Pintelaan|184||9000|Gent|0
BE02625102|RISK TO SAFETY BVBA|503880257|ZANDBERGERSTRAAT|11||3680|MAASEIK|1
BE02625102|R2S|2217324582|Zandbergerstraat|11||3680|Maaseik|0
BE02571824|PALLADIUM PRODUCTION SRL|845826538|RUE SAINTE-ANNE|26||5060|SAMBREVILLE|1
BE02571824|HOVISTALITY|2209663859|Rue Grand Piersoulx|8||6041|Charleroi|0
BE02638203|DIRTYDIRTY BV|525690510|ALFONS SCHNEIDERLAAN|251||2100|ANTWERPEN|1
BE02638203|dirtydirty|2217998139|Alfons Schneiderlaan|251||2100|Antwerpen|0
BE02622423|CASINOS AUSTRIA INTERNATIONAL BELGIUM SA|502785246|RUE GRÉTRY|16-20||1000|BRUXELLES|1
BE02622423|VIAGE|2216034185|Rue Grétry|16/20||1000|Bruxelles|0
BE02607164|NO PAIN NO GAIN SPRL|500854946|CHAUSSÉE DE HUY|312||1325|CHAUMONT-GISTOUX|1
BE02607164||2215320642|Chaussée de Huy|312||1325|Chaumont-Gistoux|0
BE02624709|NP CONSULTING & MANAGEMENT SPRL|503827502|RUE BARA|173-175||1070|ANDERLECHT|1
BE02624709||2216421294|Chaussée de La Hulpe|39||1180|Uccle|0
BE02630081|YOUCONNECT NV|521697672|RUE DU CONGRÈS|35||1000|BRUXELLES|1
BE02630081|YouConnect|2218072472|Rue du Congrès|35||1000|Bruxelles|0
BE02630081|YouConnect|2263256953|Nederkouter|124||9000|Gent|0
BE02613551|PIETER DE BRUYCKERE BV|508613065|KROMSTRAAT|43||1500|HALLE|1
BE02613551|Pieter De Bruyckere|2215118229|Kromstraat|43||1500|Halle|0
BE02577128|IDEAL TOIT SPRL SRL|846546813|RUE DU PETIT CHAMP|113||7012|MONS|1
BE02577128|IDEAL TOIT SPRL|2210436988|Route de Wallonie (G.)|4||7011|Mons|0
BE02624874|SOPHIE, MANUEL|503881544||||||1
BE02624874|EIHPOS Group|2306771648|Haverenblok|41||1980|Zemst|0
BE02624456|GEUSENS, BARBARA|508473802|BROUWERSSTRAAT|18||9000|GENT|1
BE02624456|Geusens Barbara|2214798624|Brouwersstraat|18||9000|Gent|0
BE02631347|MATTHÉ, ELI|502572935||||||1
BE02631347||2217062187|Mellegracht|21||2150|Borsbeek|0
BE02648941|PITHODIS SRL|534747538|CHAUSSÉE DE MONS|14||7070|LE ROEULX|1
BE02648941|SPAR LE ROEULX|2224026787|Chaussée de Mons(R)|14||7070|Le Roeulx|0
BE02624409|M.C.S. CONSTRUCTION SPRL|503792264|RUE DU GRAND-PRÉ|15||1082|BERCHEM-SAINTE-AGATHE|1
BE02624409|-|2216493847|Rue de la Hamaide(T)|117||7333|Saint-Ghislain|0
BE02620538|SVD BV|500794172|MARETAK|41||2970|SCHILDE|1
BE02620538|SVD|2214699149|Maretak|41||2970|Schilde|0
BE02644347|DENIS, JULIEN|533809014||||||1
BE02644347|Julien Denis|2218544210|Chaussée de Namur|231||5030|Gembloux|0
BE02623228|CHRISTOF VAN GHEEL|502895312|CUYLITSHOFSTRAAT |30 / A||2920|KALMTHOUT|1
BE02623228||2216170876|Cuylitshofstraat (C)|30A||2920|Kalmthout|0
BE02646483|FINOMARKER NV|534440405|ROOIGEM|1||8310|BRUGGE|1
BE02632117|DOUH SRL|521866433|AV DU PONT DE LUTTRE|98||1190|FOREST|1
BE02632117|DOUH|2219582902|Av du Pont de Luttre|98||1190|Forest|0
BE02626805|GOOSSENS, YANNICK|504870548||||||1
BE02626805|Yannick Goossens|2355714383|Marsstraat|32||2600|Antwerpen|0
BE02666087|SERROELS, HUGO|537619233||||||1
BE02666087|Bistro Sapristi|2221359980|Stormestraat|14||8790|Waregem|0
BE02626646|CLERBAUX, QUENTIN|504856294||||||1
BE02626646||2216361512|Rue du Moulard|17||6470|Sivry-Rance|0
BE02626646||2255984725|Avenue du Chant d'Oiseau|187||1160|Auderghem|0
BE02665901|TERRE NATURELLE SRL|537832336|RUE DES CHAPELIERS|38 / 40||1000|BRUXELLES|1
BE02665901|TERRE NATURELLE|2232891005|Rue des Chapeliers|38||1000|Bruxelles|0
BE02653540|HR/HUMAN RESULTS BV|536189769|MOLENVELD|34||2930|BRASSCHAAT|1
BE02653540|HR/HUMAN RESULTS|2222489140|Molenveld|34||2930|Brasschaat|0
BE02657050|BP LAW SPRL|536384660|AVENUE LOUISE|516||1050|IXELLES|1
BE02657050|BP LAW|2220616842|Avenue Louise|516||1050|Ixelles|0
BE02614592|APIMEX DISTRIBUTION SRL|508788061|RUE DE GRAND-BIGARD|276||1082|BERCHEM-SAINTE-AGATHE|1
BE02614592|Full Candies|2215242349|Alfons Gossetlaan|44F||1702|Dilbeek|0
BE02651064|DIMACO INVEST BV|535569860|DENNENLAAN|5||2020|ANTWERPEN|1
BE02651064|DIMACO INVEST|2220680089|Dennenlaan|5||2020|Antwerpen|0
BE02621388|ORIENT OVERSEAS DEVELOPMENTS BV|502646971|LAGE KAART|176||2930|BRASSCHAAT|1
BE02621388|TOTAL-RELAX|2216306379|Lage Kaart|176||2930|Brasschaat|0
BE02613488|IDEAL BEAUTY SPRL|508604157|CLOS LAS CASES|3||1410|WATERLOO|1
BE02613488|IDEAL BEAUTY|2218566479|Chaussée d'Alsemberg|674||1180|Uccle|0
BE02629116|MARCO SLOTBOOM ADVOCAAT BV|518889523|AVENUE EDMOND PARMENTIER|160||1150|WOLUWE-SAINT-PIERRE|1
BE02629116||2217665171|Avenue Edmond Parmentier|160||1150|Woluwe-Saint-Pierre|0
BE02595009|CN-INVEST BVBA|849059311|DELINSTRAAT|82||2060|ANTWERPEN|1
BE02665393|TPRÉCUP SA|537731673|RUE TROIS BOURDONS|25||4840|WELKENRAEDT|1
BE02665393|Belcyco – Site de Cognelé|2355738040|Route de Wasseiges(CG)|290||5022|Namur|0
BE02645566|VAN LANDSCHOOT, ROEL|533974904||||||1
BE02645566|Roel Van Landschoot|2218714256|Dadizeelsestraat|8||8890|Moorslede|0
BE02680535|MOROZAN, AUREL|541664925|AVENUE DE L'HÉLIPORT|48 / B0S6||1000|BRUXELLES|1
BE02680535|Morozan Aurel Horatiu|2354745274|Avenue de l'Héliport|48||1000|Bruxelles|0
BE02675893|OTSUKEORI SRL|540873879|RUE BORRENS|51||1050|IXELLES|1
BE02675893|OTSUKEORI|2225907005|Rue de Brabant|144||1030|Schaerbeek|0
BE02659030|LEBLANC RENOVE SPRL|536255293|RUE DU GRAND CENTRAL|23||6000|CHARLEROI|1
BE02659030|LEBLANC RENOVE|2221300295|Rue du Grand Central|23||6000|Charleroi|0
BE02627626|PETITS CHAMPS SPRL|504970518|AVENUE DES PETITS CHAMPS|36||1410|WATERLOO|1
BE02627626|PETITS CHAMPS|2216666071|Avenue des Petits Champs|36||1410|Waterloo|0
BE02682035|ATRADIUS COLLECTIONS B.V. BO|541922469|VAN REEUWIJKSTRAAT|44||7731EH|OMMEN|1
BE02682035|Atradius Collections B.V.|2224278492|Avenue Prince de Liège(JB)|78||5100|Namur|0
BE02613146|PLANT A PIZZA BV|508577631|HENDRIK DRAPSSTRAAT|25||1853|GRIMBERGEN|1
BE02613146|Plant A Pizza|2215745759|Geldmunt|49||9000|Gent|0
BE02667970|A. B. THAKUR BVBA|538608336|KORTE SCHIPPERSKAPELSTRAAT|12||2000|ANTWERPEN|1
BE02667970|JEHNABIN TRADERS|2223365308|Korte Schipperskapelstraat|12||2000|Antwerpen|0
BE02633027|4 PLACE DE L'HOTEL DE VILLE SRL|521982635|PORTE DES BÂTISSEURS|20||7730|ESTAIMPUIS|1
BE02633027||2217702090|Porte des Bâtisseurs(EST)|20||7730|Estaimpuis|0
BE02610529|TINY BIG STORY SRL|501800004|RUE DE L'EAU VIVE|15||1420|BRAINE-L'ALLEUD|1
BE02610529|FOX & CIE - BRAINE L'ALLEUD|2242360084|Avenue Léon Jourez|40||1420|Braine-l'Alleud|0
BE02610529|TINY BIG STORY|2215453175|Rue de l'Eau Vive|15||1420|Braine-l'Alleud|0
BE02663097|HUYTTENS-HUBERT|537380889|BATSHEERSSTRAAT|4||3870|HEERS|1
BE02663097||2227917972|Burgemeestersstraat(M.B.)|4||3870|Heers|0
BE02622789|A COMMUNICATION BVBA|502849285|GOUVERNEUR ROPPESINGEL|83||3500|HASSELT|1
BE02653123|REDBERRY CAPITAL BV|535922921|BRANDSTRAAT|36||9830|SINT-MARTENS-LATEM|1
BE02653123|RedBerry Capital|2222403820|Kortrijksesteenweg|1142||9051|Gent|0
BE02671466|LEGRAIN, GEOFFREY|538910620||||||1
BE02671466|Geo Exterieur|2222094905|Rue Lieutenant-Cotelle, Le Roux|77||5070|Fosses-la-Ville|0
BE02640028|BIOSKILLS BV|525916875|STATIONSSTRAAT|132 / 3||9250|WAASMUNSTER|1
BE02640028|BIOSKILLS|2219163822|Stationsstraat|132||9250|Waasmunster|0
